,bakery,store,grocery,shops,shop,supermarket,market,stores,center,malls,markets,cafe,bakeries,cleaners,gym,bazaar,cable,stalls,sink,club,deli,boutique,sinks,mall,gyms,stall,mart,groceries,supermarkets,centers,hotspots,bookshop,bookstore,clubs,garage,plaza,stand,bookstores,diners,brasserie,grill,joints,diner,joint,cafes,boutiques,steakhouse,bistro,bazaars,salons,stands,marts,barbershop,salon,hotspot,cisterns,cafeteria,gymnasium,hypermarket,pharmacy,cables,nightclub,self-service,automats,dive,cesspool,cesspit,cistern,booths,canteen,bistros,patisserie,pizzeria,casino,brewpub,nightclubs,delicatessen,garages,booth,dives,hdtv,steakhouses,pharmacies,casinos,cabaret,florists,drugstore,nightspot,emporium,buttery,bodegas,rotisserie,emporiums,florist,cybercafe,delis,coffeehouse,grocerys,bookshops,marketplace,patisseries,tearoom,drugstores,caffs,caff,plazas,cafeterias,nightspots,bazar,pull-up,off-licence,newsstands,delicatessens,estaminet,brasseries,discounter,grills,discounters,off-licences,outfitters,newsstand,bakerys,bodega,teahouse,tearooms,juke,pizzerias,charcuterie,canteens,grillroom,charcuteries,souk,souks,coffeehouses,toyshop,teashop,teahouses,confectionery,jook
the harrison gastro pub and hotel,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citadines london barbican,,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citadines london trafalgar square,,9.0,8.0,7.0,1.0,1.0,1.0,3.0,1.0,,,1.0,,,,,2.0,,8.0,1.0,,,,2.0,,,,2.0,2.0,,,,,1.0,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copthorne tara hotel london kensington,1.0,12.0,10.0,37.0,31.0,2.0,3.0,9.0,6.0,,,15.0,,1.0,7.0,,5.0,,18.0,32.0,1.0,,5.0,,,1.0,,3.0,2.0,,,,,,,,2.0,,,6.0,,,,,4.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corus hotel hyde park,,7.0,,6.0,4.0,,2.0,3.0,3.0,,,1.0,,1.0,,,,,2.0,,1.0,,,2.0,,,,,1.0,,,,,,,,2.0,,1.0,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairway hotel,,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travelodge london euston,,1.0,,4.0,1.0,,,,1.0,,,2.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala house,,2.0,9.0,,,1.0,,6.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viking hotel,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54 boutique hotel,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travelodge london fulham,,,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jenkins hotel,1.0,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
new linden hotel,,1.0,,5.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer bay resort las vegas,,7.0,7.0,,3.0,3.0,2.0,1.0,1.0,,,,,,3.0,,2.0,1.0,6.0,8.0,1.0,,1.0,1.0,,,1.0,3.0,,,,,,1.0,5.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,11.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
fremont hotel and casino,,,,1.0,2.0,,,,1.0,,,3.0,,,1.0,,1.0,,3.0,5.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,2.0,,,,,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el cortez cabana suites,,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rio suite hotel and casino,,6.0,5.0,5.0,5.0,1.0,,,6.0,,,11.0,,2.0,4.0,,1.0,,4.0,13.0,,,15.0,,,,,1.0,,1.0,,,,3.0,8.0,,3.0,,,,19.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,3.0,1.0,1.0,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon ridge hotel,,,,1.0,,,,,1.0,,,,,,1.0,,2.0,,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodeway inn convention center,,,,1.0,,,,2.0,7.0,,,,,1.0,,,1.0,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worldmark tropicana,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flamingo hotel casino,,4.0,,9.0,9.0,,,,12.0,1.0,,9.0,,1.0,,,1.0,,6.0,7.0,1.0,,,2.0,,,,,,,,,,,2.0,,4.0,,,,,,2.0,2.0,,1.0,1.0,,,,1.0,,,2.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,77.0,,,,,,,,,,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monte carlo resort casino,,5.0,,9.0,10.0,,2.0,2.0,14.0,,,18.0,,,6.0,,2.0,,2.0,15.0,,,1.0,,,,,,,1.0,,,,4.0,7.0,,1.0,,,,1.0,1.0,1.0,,,1.0,4.0,,,,1.0,,,,,,1.0,,1.0,6.0,1.0,,,,,,,,,,,,,118.0,,1.0,,2.0,1.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la quinta inn las vegas airport,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las vegas club 36,,1.0,,,3.0,,,1.0,,,,,,,,,1.0,,1.0,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meridian luxury suites,,2.0,9.0,,,1.0,,,2.0,,1.0,,,,2.0,,10.0,,3.0,2.0,,,,,,,,1.0,,,,,,,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hard rock hotel and casino,,6.0,,7.0,8.0,1.0,4.0,2.0,8.0,1.0,,10.0,,,9.0,,1.0,,9.0,27.0,,1.0,,2.0,,,,,,,,,,10.0,4.0,,1.0,,,,1.0,1.0,9.0,3.0,,1.0,7.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,135.0,,,,,,,,1.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the palms casino hotel,,1.0,,1.0,11.0,,4.0,2.0,4.0,1.0,1.0,20.0,,,3.0,,1.0,,3.0,67.0,,,1.0,2.0,,,,,,,,,,58.0,3.0,,,,1.0,,,1.0,2.0,1.0,,,16.0,1.0,,,1.0,,,3.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,122.0,,4.0,,1.0,1.0,,,1.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverton hotel and casino,,3.0,1.0,4.0,23.0,,1.0,2.0,1.0,,,4.0,,,,,1.0,,1.0,5.0,,,,4.0,,,,1.0,,,,,,,2.0,1.0,,,,,7.0,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
club de soleil,,7.0,16.0,1.0,,,,7.0,1.0,,,,,,,,,,,48.0,1.0,,3.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casino royale and hotel,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,3.0,,,4.0,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las vegas hilton,3.0,4.0,1.0,5.0,15.0,1.0,3.0,,14.0,,,15.0,,,4.0,,4.0,1.0,5.0,20.0,4.0,,1.0,1.0,,1.0,,,,,,,,2.0,3.0,,1.0,,,,1.0,,2.0,,1.0,,7.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,1.0,1.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hampton inn las vegas summerlin,,,,,,,,1.0,3.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binion s horseshoe hotel casino las vegas,,,,,12.0,,,1.0,2.0,,,3.0,,,,,1.0,,2.0,3.0,1.0,,,,,,,,,,,,,1.0,3.0,4.0,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,25.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the westin casuarina las vegas hotel casino spa,,5.0,,3.0,2.0,,,,11.0,,,,,,11.0,,4.0,,2.0,4.0,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,8.0,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,152.0,,1.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travelodge ambassador strip inn,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxor las vegas,,1.0,,11.0,7.0,,1.0,5.0,7.0,,1.0,12.0,,,4.0,,3.0,1.0,3.0,15.0,,,,1.0,,,,,,,,,,4.0,1.0,1.0,1.0,,1.0,,,,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residence inn las vegas convention center,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal vacation suites hotel las vegas,,1.0,,2.0,,,,3.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riviera hotel casino,,11.0,2.0,12.0,29.0,,3.0,17.0,11.0,1.0,,9.0,,1.0,2.0,,,,12.0,26.0,,,,7.0,,,,1.0,,,,,,4.0,16.0,,4.0,,,,2.0,1.0,2.0,2.0,,,3.0,,,,3.0,,,3.0,,,1.0,,,,,,1.0,,2.0,,,,1.0,,,,,186.0,,1.0,,1.0,1.0,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort inn,,,,,,,,,1.0,,,1.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooters casino hotel,,,,5.0,9.0,1.0,2.0,,2.0,,,2.0,,,3.0,,3.0,,9.0,11.0,,,,,,,,,,,,,,,14.0,,1.0,,,,2.0,1.0,3.0,,,,3.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,127.0,,,,1.0,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtyard by marriott las vegas convention center,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palace station,,1.0,1.0,,4.0,,,1.0,3.0,1.0,,24.0,,,6.0,,2.0,1.0,5.0,7.0,,,,2.0,,1.0,,1.0,,,,,,,7.0,,1.0,,,,1.0,1.0,2.0,,1.0,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
california hotel,,1.0,1.0,1.0,2.0,,6.0,,1.0,,,5.0,,,,,1.0,,1.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial palace hotel casino,,2.0,,6.0,4.0,,1.0,,5.0,1.0,,1.0,,3.0,2.0,,4.0,,9.0,7.0,,,,2.0,,,,,,,,,,2.0,19.0,,,,,,,,5.0,1.0,,,1.0,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,81.0,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,
holiday inn express las vegas nellis,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candlewood suites las vegas,,6.0,1.0,,3.0,1.0,,1.0,,,,2.0,,,1.0,,2.0,,2.0,4.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,7.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fitzgeralds casino hotel,,3.0,1.0,6.0,8.0,,2.0,4.0,3.0,,,6.0,,1.0,1.0,,,,6.0,7.0,,,2.0,1.0,,,,,,,,,,1.0,10.0,4.0,1.0,,,,4.0,,,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,95.0,,,,,,,,1.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best western mccarran inn,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best western mardi gras hotel casino,,1.0,,1.0,1.0,,2.0,1.0,6.0,,,1.0,,1.0,,,2.0,,2.0,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort inn suites las vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodeway inn,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circus circus hotel casino las vegas,,,,12.0,6.0,2.0,1.0,5.0,4.0,,,5.0,,,,,1.0,,2.0,3.0,1.0,,2.0,3.0,,,,,,,,,,1.0,6.0,,1.0,,,,12.0,,,,,,6.0,,,,3.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,82.0,,,,1.0,,,,,,17.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arizona charlie s boulder casino hotel,,2.0,,,2.0,,,1.0,,,,3.0,,,,,,,4.0,2.0,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boulder station hotel and casino,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motel 6 las vegas tropicana,,3.0,,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,,1.0,,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crestwood suites las vegas flamingo,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold spike hotel and casino,,1.0,,,,,,,,,,1.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,8.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,53.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siena suites,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texas station gambling hall and hotel,,,,,,,,1.0,1.0,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis park resort,1.0,2.0,,1.0,1.0,,,,2.0,,,2.0,,,2.0,,8.0,,8.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tod motor motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las vegas club casino hotel,,,,,2.0,,,,5.0,,,1.0,,1.0,2.0,,,,4.0,94.0,,,,,,,,,,,,,,,11.0,13.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,1.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hampton inn suites las vegas airport,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super 8 las vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best western main street inn,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahara hotel casino,,7.0,1.0,5.0,11.0,,1.0,2.0,6.0,,1.0,31.0,,,,,6.0,,1.0,20.0,,,,4.0,,,,,,,,,,1.0,14.0,,,,,,2.0,,3.0,,1.0,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,95.0,,,,,,1.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arizona charlie s decatur,,,,,,,,,,1.0,,3.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homestead studio suites las vegas midtown,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropicana resort and casino,,2.0,1.0,11.0,9.0,1.0,1.0,1.0,4.0,1.0,,17.0,,,6.0,,2.0,,5.0,9.0,6.0,,3.0,4.0,,,,,,,,,,3.0,1.0,,1.0,,,,1.0,,,,,1.0,5.0,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,97.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
